time,seconds_elapsed,z,y,x
1776443396791801900,0.0768017578125,-405.78179931640625,-202.8292236328125,-196.6148223876953
1776443396831915800,0.116915771484375,-406.58172607421875,-203.52549743652344,-196.3218536376953
1776443396872028000,0.15702783203125,-406.7568664550781,-204.3360595703125,-195.46153259277344
1776443396912144000,0.197143798828125,-407.1332702636719,-205.34458923339844,-194.92774963378906
1776443396952262000,0.237261962890625,-407.1081848144531,-205.51766967773438,-194.39109802246094
1776443396992383000,0.277383056640625,-407.0894775390625,-206.49392700195312,-193.6419677734375
1776443397032506000,0.317506103515625,-406.74591064453125,-206.6065673828125,-193.11737060546875
1776443397072633900,0.3576337890625,-407.2499084472656,-207.14329528808594,-191.7648162841797
1776443397112756000,0.397755859375,-406.72222900390625,-207.72047424316406,-190.84007263183594
1776443397152879000,0.437879150390625,-406.386474609375,-207.82308959960938,-189.9005584716797
1776443397193000700,0.478000732421875,-406.5302429199219,-208.2819061279297,-188.94676208496094
1776443397233122800,0.518122802734375,-406.5819396972656,-208.24774169921875,-187.6533660888672
1776443397273248000,0.558248046875,-406.0555725097656,-208.65760803222656,-187.07313537597656
1776443397313373700,0.598373779296875,-406.3169250488281,-209.33645629882812,-187.79544067382812
1776443397353501000,0.6385009765625,-406.3167419433594,-209.8894500732422,-188.52816772460938
1776443397393629700,0.678629638671875,-408.024658203125,-211.48251342773438,-189.59584045410156
1776443397433756000,0.718755859375,-407.5064697265625,-211.75357055664062,-191.95309448242188
1776443397473881000,0.758881103515625,-408.71136474609375,-212.3941650390625,-193.88214111328125
1776443397514006000,0.799006103515625,-408.8756408691406,-212.7398223876953,-194.8820037841797
1776443397554129000,0.83912890625,-409.2815856933594,-213.0090789794922,-195.6583709716797
1776443397594250000,0.87925,-409.640380859375,-213.3621063232422,-196.11668395996094
1776443397634369800,0.919369873046875,-408.5926208496094,-212.25344848632812,-196.702392578125
1776443397674488800,0.95948876953125,-409.5135498046875,-212.84683227539062,-196.34698486328125
1776443397714610000,0.99960986328125,-408.7645263671875,-213.00445556640625,-195.77174377441406
1776443397754731000,1.03973095703125,-408.9477844238281,-213.2393035888672,-195.58938598632812
1776443397794854000,1.07985400390625,-409.07135009765625,-213.4230194091797,-195.5389404296875
1776443397834980900,1.11998095703125,-409.29156494140625,-212.97848510742188,-195.60353088378906
1776443397875105000,1.16010498046875,-409.3677978515625,-213.74351501464844,-196.01393127441406
1776443397915227000,1.200226806640625,-409.4439697265625,-214.3336639404297,-196.27320861816406
