time,seconds_elapsed,z,y,x
1776444995328575500,0.090575439453125,-406.8677978515625,-208.18365478515625,-192.4023895263672
1776444995368700400,0.130700439453125,-406.4734191894531,-207.94317626953125,-190.71519470214844
1776444995408827600,0.17082763671875,-406.5238952636719,-207.7854461669922,-189.41876220703125
1776444995448956700,0.210956787109375,-406.3228454589844,-208.37353515625,-186.95729064941406
1776444995489085700,0.251085693359375,-405.96514892578125,-209.5050048828125,-184.8415985107422
1776444995529214700,0.291214599609375,-404.72442626953125,-210.6707000732422,-182.08148193359375
1776444995569345800,0.331345703125,-404.654541015625,-213.20323181152344,-179.77601623535156
1776444995609476900,0.371476806640625,-403.40045166015625,-214.3316192626953,-177.49014282226562
1776444995649607700,0.411607666015625,-403.90618896484375,-215.64219665527344,-176.58432006835938
1776444995689741800,0.451741943359375,-404.06207275390625,-216.54537963867188,-177.0631103515625
1776444995729875700,0.491875732421875,-404.19891357421875,-216.08139038085938,-177.51722717285156
1776444995770013000,0.532012939453125,-404.391357421875,-216.40713500976562,-177.9818878173828
1776444995810144800,0.572144775390625,-405.23138427734375,-217.2629852294922,-178.7909698486328
1776444995850280700,0.61228076171875,-405.08453369140625,-219.27706909179688,-179.4076690673828
1776444995890415600,0.65241552734375,-406.125,-220.2168426513672,-180.25636291503906
1776444995930553600,0.6925537109375,-405.88812255859375,-220.89456176757812,-181.24801635742188
1776444995970689800,0.732689697265625,-406.6378479003906,-221.79893493652344,-181.12135314941406
1776444996010822700,0.77282275390625,-406.94500732421875,-222.33694458007812,-181.27740478515625
1776444996050960000,0.8129599609375,-407.13800048828125,-223.61184692382812,-181.93907165527344
1776444996091097900,0.853097900390625,-406.6944885253906,-224.7027587890625,-181.19686889648438
1776444996131236900,0.89323681640625,-405.86688232421875,-224.8375244140625,-181.17567443847656
1776444996171372800,0.933372802734375,-406.6402587890625,-225.33567810058594,-181.4683074951172
1776444996211513900,0.973513916015625,-406.5771179199219,-225.4428253173828,-182.4755096435547
1776444996251655000,1.013655029296875,-406.9347839355469,-226.33090209960938,-183.2772979736328
1776444996291793000,1.05379296875,-406.23779296875,-228.24728393554688,-183.6695098876953
1776444996331932700,1.0939326171875,-405.9220886230469,-229.72698974609375,-183.76048278808594
1776444996372072700,1.13407275390625,-406.39117431640625,-232.01251220703125,-184.01416015625
1776444996412212700,1.174212646484375,-405.07568359375,-233.5163116455078,-184.33245849609375
1776444996452349700,1.214349609375,-405.7425537109375,-235.36134338378906,-185.69927978515625
1776444996492486000,1.25448583984375,-404.9901123046875,-236.3421173095703,-186.6298828125
1776444996532620500,1.29462060546875,-405.2364196777344,-236.9932403564453,-188.16836547851562
1776444996572755000,1.3347548828125,-405.3941650390625,-237.4318389892578,-189.0736541748047
1776444996612884700,1.374884765625,-405.47088623046875,-237.42947387695312,-189.6579132080078
1776444996653016800,1.415016845703125,-405.73211669921875,-237.4993438720703,-190.8893585205078
1776444996693149700,1.455149658203125,-405.90380859375,-237.4514617919922,-190.91647338867188
1776444996733287000,1.495286865234375,-406.1407775878906,-237.63648986816406,-192.09336853027344
1776444996773423900,1.535423828125,-406.99365234375,-236.54124450683594,-192.47706604003906
1776444996813558800,1.575558837890625,-407.1339416503906,-235.89398193359375,-192.2972412109375
1776444996853692000,1.61569189453125,-406.90460205078125,-235.75955200195312,-193.00563049316406
1776444996893823700,1.65582373046875,-407.14984130859375,-235.65579223632812,-193.6243896484375
1776444996933955800,1.695955810546875,-406.51171875,-236.22789001464844,-194.53396606445312
1776444996974086700,1.736086669921875,-406.77386474609375,-236.296875,-194.887451171875
1776444997014219800,1.7762197265625,-406.5522766113281,-236.73892211914062,-194.76702880859375
1776444997054347800,1.81634765625,-406.98260498046875,-236.96485900878906,-195.59478759765625
1776444997094475800,1.856475830078125,-406.56573486328125,-236.15672302246094,-196.7760772705078
1776444997134605800,1.896605712890625,-407.31396484375,-234.60430908203125,-198.6440887451172
1776444997174738000,1.936738037109375,-407.24627685546875,-233.6245574951172,-201.04208374023438
1776444997214867700,1.97686767578125,-407.2601318359375,-233.6504364013672,-200.51820373535156
1776444997254999800,2.016999755859375,-407.551025390625,-233.321044921875,-201.0235595703125
1776444997295132000,2.0571318359375,-407.558349609375,-234.34219360351562,-201.13592529296875
1776444997335265000,2.09726513671875,-407.2858581542969,-233.86001586914062,-201.33547973632812
1776444997375398000,2.13739794921875,-407.11114501953125,-233.4402313232422,-202.98440551757812
1776444997415531000,2.177531005859375,-406.81591796875,-232.66741943359375,-204.32301330566406
1776444997455663900,2.217663818359375,-407.01080322265625,-232.98948669433594,-206.28115844726562
1776444997495794700,2.257794677734375,-406.8234558105469,-232.77879333496094,-207.02874755859375
1776444997535927800,2.297927734375,-406.3551025390625,-232.38414001464844,-207.71035766601562
1776444997576067800,2.33806787109375,-406.24847412109375,-232.42724609375,-208.5821075439453
1776444997616208100,2.3782080078125,-406.82257080078125,-232.15469360351562,-209.65708923339844
1776444997656345000,2.418344970703125,-405.8287048339844,-231.02699279785156,-211.23257446289062
1776444997696481000,2.45848095703125,-406.54949951171875,-229.75709533691406,-213.12257385253906
1776444997736615000,2.498614990234375,-405.889892578125,-228.64877319335938,-213.9852294921875
