time,seconds_elapsed,z,y,x
1776442196025810700,0.079810791015625,-406.3994140625,-219.8473358154297,-189.21478271484375
1776442196065951000,0.119950927734375,-406.39483642578125,-218.94970703125,-188.88232421875
1776442196106092800,0.1600927734375,-406.61212158203125,-218.98873901367188,-189.13682556152344
1776442196146232800,0.20023291015625,-406.45458984375,-218.78567504882812,-189.4549560546875
1776442196186371800,0.240371826171875,-406.39959716796875,-218.51068115234375,-188.87594604492188
1776442196226507800,0.2805078125,-406.876953125,-217.89697265625,-188.64234924316406
1776442196266644700,0.320644775390625,-405.96917724609375,-217.43746948242188,-188.20762634277344
1776442196306780000,0.36077978515625,-405.6578369140625,-216.88015747070312,-187.86439514160156
1776442196346913800,0.400913818359375,-406.2941589355469,-216.7187042236328,-187.53811645507812
1776442196387044600,0.441044677734375,-405.89154052734375,-215.71023559570312,-186.903564453125
1776442196427178800,0.4811787109375,-405.5474853515625,-215.46890258789062,-186.6669464111328
1776442196467308800,0.521308837890625,-405.44000244140625,-215.29205322265625,-186.28306579589844
1776442196507441700,0.561441650390625,-405.41632080078125,-214.58535766601562,-185.80319213867188
1776442196547571700,0.60157177734375,-405.572509765625,-214.48980712890625,-185.59185791015625
1776442196587702800,0.641702880859375,-404.7296142578125,-213.6057586669922,-185.4208984375
1776442196627836700,0.681836669921875,-404.77191162109375,-213.7764434814453,-184.21072387695312
1776442196667967700,0.7219677734375,-403.6621398925781,-212.6491241455078,-182.39047241210938
1776442196708099800,0.762099853515625,-402.7454833984375,-211.753173828125,-180.7088623046875
1776442196748229600,0.802229736328125,-402.09185791015625,-211.0770721435547,-179.14976501464844
1776442196788361000,0.84236083984375,-400.76275634765625,-211.33946228027344,-177.11654663085938
1776442196828494800,0.882494873046875,-400.277587890625,-213.18408203125,-176.2211151123047
1776442196868625700,0.922625732421875,-400.1238098144531,-214.64100646972656,-176.47499084472656
1776442196908758500,0.962758544921875,-399.98992919921875,-216.06077575683594,-175.80677795410156
1776442196948887300,1.00288720703125,-399.94281005859375,-215.98431396484375,-175.16749572753906
1776442196989021200,1.043021240234375,-400.64263916015625,-217.31114196777344,-175.60057067871094
1776442197029157000,1.0831572265625,-400.66156005859375,-217.69732666015625,-175.3463897705078
1776442197069292300,1.123292236328125,-399.86053466796875,-218.3596649169922,-175.44598388671875
1776442197109425400,1.16342529296875,-399.9979248046875,-219.35601806640625,-175.54425048828125
1776442197149555200,1.20355517578125,-400.0279846191406,-220.39939880371094,-174.62527465820312
1776442197189685200,1.243685302734375,-399.9575500488281,-221.80767822265625,-174.38087463378906
1776442197229817000,1.283817138671875,-399.622314453125,-222.9157257080078,-173.5318145751953
1776442197269947400,1.323947509765625,-399.4305419921875,-223.8084259033203,-173.5109405517578
1776442197310080300,1.364080322265625,-399.1458740234375,-224.27212524414062,-172.8394317626953
1776442197350211000,1.404211181640625,-398.27630615234375,-224.42393493652344,-172.3594970703125
1776442197390346200,1.44434619140625,-397.93707275390625,-224.8065948486328,-172.213623046875
