timestamp,orient_x,orient_y,orient_z,orient_w,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
1776447305.760691,-0.041369345251750546,-0.0868907398521848,0.01670892803384939,0.9952182616518555,0.107826,0.215254,-0.063752,-1.267,0.471,-9.428,1.038e-05,1.2200000000000002e-06,3.957e-05
1776447305.785643,-0.040669621857444646,-0.08469641341820912,0.015601142551992811,0.9954542198228589,0.016689,0.15442,-0.088781,-1.448,0.631,-9.412,1.027e-05,1.34e-06,3.783e-05
1776447305.8107653,-0.04090523761790927,-0.08326394816515352,0.014774413978770249,0.9955780196262656,-0.035569,0.104241,-0.035484,-1.592,0.909,-9.426,1.016e-05,1.2200000000000002e-06,4.0100000000000006e-05
1776447305.8357668,-0.041071674150570336,-0.08234088840890709,0.014293025009777081,0.9956549628835138,0.017382,0.060634,-0.035064,-1.501,1.165,-9.408,1.006e-05,2.17e-06,3.9280000000000003e-05
1776447305.860737,-0.0402111524990465,-0.08164886241224655,0.013936485654148668,0.9957521282172064,0.085766,0.057803,-0.033366,-1.661,0.82,-9.511,1.0170000000000001e-05,2.17e-06,3.875e-05
1776447305.885732,-0.03919593123509015,-0.0809498673528302,0.013669222225068172,0.9958533779196288,0.072237,0.050129,-0.017613,-1.526,0.709,-9.578,1.018e-05,2.29e-06,3.822e-05
1776447305.910814,-0.03878635535652809,-0.08070815806928365,0.013678146160670106,0.9958889095560951,0.004928,-0.006635,0.007718,-1.534,0.574,-9.539,9.600000000000001e-06,1.23e-06,3.953e-05
1776447305.9358811,-0.03891291275556956,-0.08116781934116489,0.013795007422995973,0.995845002043228,0.003445,-0.03795,0.017665,-1.38,1.025,-9.698,1.006e-05,2.0500000000000003e-06,3.808e-05
1776447305.9609456,-0.03844312685198584,-0.08125156935935532,0.014348261676976013,0.9958486008733118,0.054132,0.006565,0.046207,-1.53,0.818,-9.685,9.940000000000001e-06,1.46e-06,3.888e-05
1776447305.9860778,-0.03816594809435364,-0.08154304078034544,0.015231527706219904,0.9958223202309178,-0.003154,-0.060329,0.08026,-1.169,0.592,-9.587,9.84e-06,2.1800000000000003e-06,3.913e-05
1776447306.0110545,-0.039392335609408476,-0.08296652379315615,0.015838059424118353,0.995647505746182,-0.184762,-0.168792,0.013526,-0.996,0.048,-9.557,1.018e-05,2.52e-06,3.875e-05
1776447306.0360765,-0.042689670576586146,-0.08602628386654203,0.01506438348191295,0.995263851880739,-0.285095,-0.266339,-0.083947,-1.894,1.133,-9.666,1.039e-05,1.93e-06,3.703e-05
1776447306.0611477,-0.04482103317898978,-0.08892680093801338,0.013855076607742439,0.9949327293399752,-0.090196,-0.186499,-0.07842,-2.441,1.958,-9.824,1.04e-05,2.28e-06,3.9300000000000007e-05
1776447306.086163,-0.0443760500070728,-0.09007726128708136,0.014251493147182458,0.9948435797289262,0.102898,-0.01709,0.090643,-2.39,1.461,-9.99,1.0820000000000001e-05,1.0900000000000002e-06,3.893e-05
1776447306.1113725,-0.04267143464588707,-0.08904508657401501,0.015619694761789643,0.994990525762852,0.171736,0.124028,0.078187,-1.822,0.968,-9.704,1.016e-05,1.34e-06,3.903e-05
1776447306.136567,-0.03976415990896357,-0.08727265191126382,0.01580284919797063,0.9952650731198879,0.283936,0.135941,-0.061899,-1.586,1.041,-9.444,1.0510000000000001e-05,2.28e-06,3.877e-05
1776447306.1623218,-0.035640988262549626,-0.08582147679346487,0.014735724928936347,0.9955637862475092,0.327533,0.108778,-0.115099,-1.764,0.869,-9.778,1.0510000000000001e-05,2.28e-06,3.73e-05
1776447306.1876216,-0.03230494752122198,-0.08443719537509566,0.014165916534309231,0.9958042363896541,0.204009,0.112305,-0.023678,-1.65,0.467,-9.944,1.04e-05,2.64e-06,3.782e-05
1776447306.2128313,-0.03145990053018844,-0.08344092930153843,0.014739683794506655,0.9959069372675161,-0.013675,0.057862,0.09055,-1.586,0.35,-9.776,9.950000000000001e-06,1.8200000000000002e-06,3.9410000000000004e-05
1776447306.2373335,-0.03241594591787968,-0.08263652505726982,0.015415932374390666,0.9959331103069807,-0.071311,0.065945,-0.000125,-1.38,0.658,-9.571,1.0280000000000002e-05,2.0500000000000003e-06,3.876e-05
1776447306.2625723,-0.03227193712687358,-0.08207772879273509,0.013642066619314903,0.996009870698408,0.056946,0.038396,-0.223915,-1.711,0.914,-9.507,9.84e-06,2.1800000000000003e-06,4.007e-05
1776447306.2872934,-0.030957619052440103,-0.08168752241671336,0.01058254899526678,0.9961208682488213,0.089211,0.036479,-0.244578,-1.545,0.779,-9.458,1.019e-05,2.88e-06,3.954e-05
1776447306.3121896,-0.03014733974026234,-0.08128381188537229,0.008310997002053526,0.9962002846620754,0.024704,0.038231,-0.146722,-1.511,0.55,-9.47,1.0090000000000002e-05,3.3500000000000005e-06,3.86e-05
1776447306.3372297,-0.02961652323272721,-0.08070627018818045,0.0069723914526494575,0.9962734289648344,0.056609,0.060296,-0.092104,-1.45,0.58,-9.491,1.03e-05,3e-06,3.728e-05
1776447306.361292,-0.028274893895743763,-0.07958643532882602,0.006008430550557317,0.9964087657428322,0.133799,0.107023,-0.087146,-1.49,0.57,-9.465,9.96e-06,2.53e-06,3.9800000000000005e-05
1776447306.3871186,-0.026238205698220173,-0.07819864643307776,0.004869532247610429,0.9965805616775102,0.174452,0.120159,-0.113571,-1.699,0.583,-9.5,1.03e-05,2.7600000000000003e-06,3.8350000000000004e-05
1776447306.4112852,-0.023642459049328855,-0.07655280990000501,0.0037736767334052602,0.9967780398817112,0.223779,0.153461,-0.074114,-1.772,0.685,-9.644,9.630000000000001e-06,2.89e-06,4.018e-05
1776447306.437176,-0.020159663308273578,-0.07436607118470273,0.0037591693214150687,0.9970201322329764,0.32357,0.181846,-0.007398,-1.538,0.758,-9.693,9.55e-06,4.1900000000000005e-06,3.8560000000000004e-05
1776447306.4622192,-0.014872317724512092,-0.07207944598222431,0.003990921372552773,0.9972800209464717,0.552402,0.178218,-0.029414,-0.738,2.228,-9.679,9.78e-06,4.540000000000001e-06,3.9370000000000004e-05
1776447306.487111,-0.0017350387055905764,-0.069743648859765,0.0024429016918703743,0.9975604469483239,1.429355,0.243071,-0.312452,-2.682,4.451,-9.146,9.560000000000002e-06,5.02e-06,3.8950000000000005e-05
1776447306.511232,0.020310763337962712,-0.0636985357924783,0.0031097802526951906,0.9977576352488131,1.789289,0.643294,0.192627,-3.828,-0.18,-10.352,8.920000000000001e-06,5.98e-06,4.078e-05
1776447306.537219,0.03577211238584387,-0.05446866280704562,0.01008915139910175,0.997823496301582,0.85157,0.734649,0.561954,-0.333,-3.243,-11.109,8.939999999999999e-06,6.92e-06,3.9160000000000005e-05
1776447306.561137,0.03926568313561158,-0.04775669445068333,0.01849166358500529,0.9979156089774811,0.06291,0.426545,0.684069,-0.229,-1.806,-9.873,7.72e-06,7.180000000000001e-06,4.177e-05
1776447306.587118,0.03845662737433275,-0.044504745008721,0.02691623279366161,0.9979057730541986,-0.022383,0.218526,0.631563,-0.411,-1.005,-9.109,7.620000000000001e-06,7.54e-06,4.0560000000000005e-05
1776447306.6120856,0.037893238468800314,-0.04245102276888463,0.0337997183864235,0.9978073923264051,-0.033765,0.179635,0.46552,0.088,-2.02,-9.436,7.5e-06,7.2999999999999996e-06,4.029e-05
1776447306.6372304,0.035410698702842296,-0.040900320980222026,0.03812464780693956,0.9978074751126533,-0.310736,0.087759,0.291744,0.527,-2.773,-9.529,7.610000000000001e-06,7.07e-06,4.07e-05
1776447306.661221,0.028297378097441907,-0.042077292337197175,0.04016747945458523,0.9979054732070798,-0.739454,-0.15495,0.0534,0.402,-2.956,-9.727,7.370000000000001e-06,6.48e-06,4.176000000000001e-05
1776447306.6885147,0.016701720380035718,-0.04596037383498201,0.03683790279969807,0.9981240731946183,-1.068677,-0.357923,-0.361695,0.102,-1.795,-10.218,7.79e-06,4.93e-06,4.1e-05
1776447306.7114727,0.0026391459543572025,-0.05142535126598788,0.030466123083640644,0.9982085370803306,-1.179761,-0.377148,-0.473044,-1.432,-0.204,-10.277,8.33e-06,4.45e-06,3.943e-05
1776447306.7373338,-0.00954564035389626,-0.0546208228751208,0.024549424086445826,0.9981596927524687,-0.840191,-0.123792,-0.370568,-1.321,0.893,-9.949,8.77e-06,4.09e-06,4.079e-05
1776447306.7623608,-0.016378114922369184,-0.054546187165044266,0.02038352299614425,0.9981688147841582,-0.382731,0.108103,-0.272171,-0.959,0.172,-9.728,8.200000000000001e-06,3.5100000000000003e-06,4.0100000000000006e-05
